Name,Platform,Year,Score,User_Score,Developer,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
The Legend of Zelda: Ocarina of Time,Nintendo64,1998,99,9.1,Nintendo,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
Tony Hawk's Pro Skater 2,PlayStation,2000,98,7.4,NeversoftEntertainment,Sports,Activision,3.05,1.41,0.02,0.2,4.68
Grand Theft Auto IV,PlayStation3,2008,98,7.6,RockstarNorth,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01
SoulCalibur,Dreamcast,1999,98,8.5,Namco,Action,Namco Bandai Games,0,0,0.34,0,0.34
Super Mario Galaxy,Wii,2007,97,9,Nintendo,Action,Nintendo,6.06,3.35,1.2,0.74,11.35
Super Mario Galaxy 2,Wii,2010,97,9.1,NintendoEADTokyo,Action,Nintendo,3.56,2.35,0.98,0.62,7.51
Red Dead Redemption 2,XboxOne,2018,97,7.8,RockstarGames,Action,NA,NA,NA,NA,NA,NA
Grand Theft Auto V,XboxOne,2014,97,7.8,RockstarNorth,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04
The Legend of Zelda: Breath of the Wild,Switch,2017,97,8.6,Nintendo,Action,NA,NA,NA,NA,NA,NA
Tony Hawk's Pro Skater 3,PlayStation2,2001,97,7.6,NeversoftEntertainment,Sports,Activision,2.66,1.29,0.01,0.46,4.41
Perfect Dark,Nintendo64,2000,97,8.9,RareLtd.,Action,Nintendo,1.55,0.75,0.16,0.06,2.52
Metroid Prime,GameCube,2002,97,9.2,RetroStudios,Action,Nintendo,1.96,0.67,0.1,0.09,2.82
Grand Theft Auto III,PlayStation2,2001,97,8.4,DMADesign,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1
Super Mario Odyssey,Switch,2017,97,8.9,Nintendo,Action,NA,NA,NA,NA,NA,NA
Halo: Combat Evolved,Xbox,2001,97,8.5,BungieSoftware,Action,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43
NFL 2K1,Dreamcast,2000,97,6.4,VisualConcepts,Sports,Sega,1.02,0.05,0,0.02,1.09
Half-Life 2,PC,2004,96,9.1,ValveSoftware,Action,Vivendi Games,2.28,0.02,0.08,0,2.37
BioShock,Xbox360,2007,96,8.9,"IrrationalGames,2KMarin",Action,Take-Two Interactive,1.65,0.85,0.05,0.28,2.83
GoldenEye 007,Nintendo64,1997,96,9,RareLtd.,Action,Nintendo,5.8,2.01,0.13,0.15,8.09
Uncharted 2: Among Thieves,PlayStation3,2009,96,8.8,NaughtyDog,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66
Resident Evil 4,GameCube,2005,96,9.2,Capcom,Action,Capcom,2.08,0.83,0.46,0.25,3.62
The Orange Box,Xbox360,2007,96,8.8,ValveSoftware,Action,Electronic Arts,1.09,0.53,0.02,0.17,1.82
Batman: Arkham City,PlayStation3,2011,96,8.8,RocksteadyStudios,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48
Tekken 3,PlayStation,1998,96,9.1,Namco,Action,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16
Mass Effect 2,Xbox360,2010,96,8.9,BioWare,Role-Playing,Electronic Arts,1.99,0.81,0.03,0.27,3.1
The Legend of Zelda: Twilight Princess,GameCube,2006,96,8.9,Nintendo,Action,Nintendo,3.74,2.14,0.6,0.68,7.15
The Elder Scrolls V: Skyrim,Xbox360,2011,96,8.6,BethesdaGameStudios,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79
Half-Life,PC,1998,96,9,ValveSoftware,Action,Vivendi Games,4.03,0,0.09,0,4.12
The Legend of Zelda: The Wind Waker,GameCube,2003,96,9,Nintendo,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
Gran Turismo,PlayStation,1998,96,8.7,PolyphonyDigital,Driving,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95
Metal Gear Solid 2: Sons of Liberty,PlayStation2,2001,96,8.8,KCEJ,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
Grand Theft Auto Double Pack,Xbox,2003,96,8,RockstarNorth,Miscellaneous,NA,NA,NA,NA,NA,NA
Baldur's Gate II: Shadows of Amn,PC,2000,95,9.1,BioWare,Role-Playing,NA,NA,NA,NA,NA,NA
Grand Theft Auto: San Andreas,PlayStation2,2004,95,9.1,RockstarNorth,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81
Grand Theft Auto: Vice City,PlayStation2,2002,95,8.8,RockstarNorth,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15
LittleBigPlanet,PlayStation3,2008,95,6.8,"SCE/WWS,MediaMolecule",Action,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82
The Legend of Zelda Collector's Edition,GameCube,2003,95,9,Nintendo,Action,NA,NA,NA,NA,NA,NA
Red Dead Redemption,PlayStation3,2010,95,8.9,RockstarSanDiego,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49
Gran Turismo 3: A-Spec,PlayStation2,2001,95,8.4,PolyphonyDigital,Driving,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
Halo 2,Xbox,2004,95,8.4,BungieSoftware,Action,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
The Legend of Zelda: A Link to the Past,GameBoyAdvance,2002,95,9,Capcom,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
The Legend of Zelda: Majora's Mask,Nintendo64,2000,95,9.2,Nintendo,Action,Nintendo,1.9,0.67,0.73,0.06,3.36
The Last of Us,PlayStation3,2013,95,9.2,NaughtyDog,Modern,Sony Computer Entertainment,8.41,7.18,4.28,1.47,21.34
Madden NFL 2003,PlayStation2,2002,95,7.5,EASports,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
Persona 5 Royal,PlayStation4,2020,95,8.2,Atlus,Role-Playing,NA,NA,NA,NA,NA,NA
The Last of Us Remastered,PlayStation4,2014,95,9.2,NaughtyDog,Action,NA,NA,NA,NA,NA,NA
Portal 2,PC,2011,95,9.1,ValveSoftware,Action,Valve Software,1.41,0.49,0.01,0.17,2.08
Metal Gear Solid V: The Phantom Pain,XboxOne,2015,95,7.4,"KojimaProductions,MobyDickStudio",Modern,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41
World of Goo,Wii,2008,94,8.7,2DBoy,Miscellaneous,2D Boy,0,0.03,0,0.01,0.04
BioShock Infinite,PlayStation3,2013,94,8.5,IrrationalGames,Action,Take-Two Interactive,1.22,0.54,0.02,0.16,1.93
Final Fantasy IX,PlayStation,2000,94,9,SquareSoft,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
Call of Duty: Modern Warfare 2,PlayStation3,2009,94,6.6,InfinityWard,Action,Activision,8.52,3.59,0.08,1.28,13.47
God of War,PlayStation4,2018,94,9.2,SCESantaMonica,Action,Sony Computer Entertainment,1.71,1.29,1.02,0.43,3.45
Tony Hawk's Pro Skater 4,PlayStation2,2002,94,8.4,NeversoftEntertainment,Sports,Activision,2.13,1.18,0.01,0.35,3.67
Devil May Cry,PlayStation2,2001,94,8.6,Capcom,Action,Capcom,1.36,0.86,0.64,0.13,2.99
Call of Duty 4: Modern Warfare,PlayStation3,2007,94,8.4,InfinityWard,Action,Activision,5.93,2.36,0.13,0.9,9.31
Madden NFL 2002,PlayStation2,2001,94,7.3,EASports,Sports,Electronic Arts,2.5,0.16,0.01,0.42,3.08
The Legend of Zelda: Ocarina of Time 3D,3DS,2011,94,9,GREZZO,Miscellaneous,NA,NA,NA,NA,NA,NA
Chrono Cross,PlayStation,2000,94,8.8,SquareSoft,Role-Playing,SquareSoft,0.62,0.42,0.69,0.12,1.86
Celeste,XboxOne,2018,94,7.1,MattMakesGamesInc.,Action,NA,NA,NA,NA,NA,NA
Madden NFL 2004,PlayStation2,2003,94,8.2,EATiburon,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
Gears of War,Xbox360,2006,94,8.3,EpicGames,Action,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09
The Elder Scrolls IV: Oblivion,Xbox360,2006,94,8.7,BethesdaSoftworks,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38
Sid Meier's Civilization II,PC,1996,94,8.8,MPSLabs,Strategy,NA,NA,NA,NA,NA,NA
Quake,PC,1996,94,8.8,idSoftware,Action,GT Interactive,0.15,0.04,0,0,0.19
Halo 3,Xbox360,2007,94,8,"BungieSoftware,Bungie",Action,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12
Ninja Gaiden Black,Xbox,2005,94,8.8,TeamNinja,Action,Microsoft Game Studios,0.07,0.02,0,0,0.09
Street Fighter IV,PlayStation3,2009,94,7.4,Capcom,Action,Capcom,2.03,1.04,0.58,0.52,4.16
Super Mario Advance 4: Super Mario Bros. 3,GameBoyAdvance,2003,94,8.9,Nintendo,Action,NA,NA,NA,NA,NA,NA
